type,coordinates long,coordinates lat,category,name,info,area_total_m2,perimeter_total_m,area_perimeter_ratio_total
Feature,13.250587157643984,52.50717310008847,Grünanlage,Ortelsburgpark,,19855.39,1144.27,17.352
Feature,13.269152616551263,52.5076400326531,Grünanlage,Karolingerplatz - Grünanlage,,6486.15,512.82,12.648
Feature,13.259877850886134,52.49462306239365,Grünanlage,Kühler Weg - Grünanlage,Wäldchen zw. Maikäferpfad u. Alte Allee,26903.15,1123.85,23.9383
Feature,13.310218141515147,52.50815210884921,Grünanlage,Karl-August-Platz - Grünanlage,,4966.64,879.71,5.6458
Feature,13.289367442130537,52.53795009400868,Grünanlage,Charlottenburg Nord - Grünzug Heilmannring,Schwarzer Weg/Heilmannring,9638.65,1297.33,7.4296
Feature,13.328296018816742,52.51461140026898,Grünanlage,Einsteinufer - Grünanlage,Grünzug am Landwehrkanal,16073.31,2074.07,7.7496
Feature,13.314242929294334,52.5251424734381,Grünanlage,Goslarer Platz - Grünanlage,,7429.75,506.87,14.6581
Feature,13.322219319483724,52.537755871686585,Grünanlage,Friedrich-Olbricht-Damm/Kol. Heideschl - GA,nördlicher Randstreifen an der BAB,5316.11,552.62,9.6199
Feature,13.297660028709293,52.53487085413592,Grünanlage,Goerdelerdamm/Kurt-Schumacher-Damm - GA,Randstreifen Paul-Hertz-Siedlung,7515.05,834.25,9.0081
Feature,13.294964213350646,52.53836869387708,Grünanlage,Kurt-Schumacher-Damm/Heckerdamm - GA,westl. Randstreifen der Paul-Hertz-Siedlung,2036.39,643.91,3.1625
Feature,13.242722302796942,52.50691300456325,Grünanlage,Kranzallee - Grünanlage,Grünanlage zw. Lyckallee u. Heerstr.,7684.94,393.77,19.5162
Feature,13.2675873203155,52.49893797148557,Grünanlage,Waldschulallee/Bhf. Eichkamp - GA,Wäldchen zw. Mommsenstadion u. Eichkampstr.,23653.52,1346.14,17.5714
Feature,13.262785486710927,52.50117665031701,Grünanlage,Schuhmannplatz - Grünanlage,Waldschulallee/Harbigstr.,1881.46,327.37,5.7473
Feature,13.243692712035259,52.50835623371291,Grünanlage,Heilsberger Dreieck - Grünanlage,Heerstr./Heilsberger Allee Flatowall,13757.79,764.31,18.0003
Feature,13.269168046614585,52.527155163838174,Grünanlage,Ruhwaldhöhenweg/Fürstenbrunner Weg 81 - GA,Grünanlage,18908.68,2332.46,8.1068
Feature,13.294565191655856,52.531652567915295,Grünanlage,Tegeler Weg - Hundeauslauf - GA,Tegeler Weg / Schleusenkanal,6667.77,481.3,13.8536
Feature,13.289483481807853,52.53211194851658,Grünanlage,Nonnendamm 26-30 - GA,Nonnendamm bis Mörschbrücke,27748.33,2231.34,12.4358
Feature,13.252084072014297,52.52702715954347,Grünanlage,Wiesendamm/Spreeuferweg - GA (Dahlemer Wiese),Dahlemer Wiese,5484.07,1110.37,4.939
Feature,13.284624620742463,52.494644023251155,Grünanlage,Rathenauplatz 05 - Grünanlage,,1775.8,191.1,9.2923
Feature,13.266377036751603,52.483289621610325,Grünanlage,Hagenplatz - Grünanlage,,2556.95,215.89,11.8438
Feature,13.280289605307912,52.48586116530409,Grünanlage,Hubertussee - Delbrückstr. - GA,Uferanlage - Bismarck- bis Hubertusallee,10588.32,1982.28,5.3415
Feature,13.268216911160206,52.48600476214652,Grünanlage,Koenigsallee 45a - Grünanlage,Uferanlage Dianasee,4070.3,431.92,9.4237
Feature,13.260326441192616,52.48139271216544,Grünanlage,Koenigsallee 75a - Grünanlage,,2398.6,543.68,4.4118
Feature,13.27170576067218,52.48753370731231,Grünanlage,Koenigsallee 31-33 - Grünanlage,Grünanlage Koenigssee,8027.39,432.69,18.5522
Feature,13.29407474273828,52.47398751304342,Grünanlage,Breite Str. 37a-b/Kirchstr. - GA,Grünanlage,671.02,147.93,4.5361
Feature,13.292987285644696,52.482161700955096,Grünanlage,Forckenbeckstr. - Aufhaltebecken - GA,Grünanlage  (Aufhaltebecken),21286.48,1286.46,16.5465
Feature,13.263558790308721,52.48435888410572,Grünanlage,Douglasstr. 7/Fontanestr. 15 - GA,Villa Harteneck,8261.69,487.23,16.9565
Feature,13.270125864952886,52.487405606321616,Grünanlage,Hasensprung 5 - Grünanlage,,4858.9,382.84,12.6917
Feature,13.270509578368593,52.479673750533685,Grünanlage,Bernhard-Wieck-Promenade - GA,,3365.39,300.56,11.1972
Feature,13.281983799550456,52.48978905426614,Grünanlage,Johannaplatz - Grünanlage,,6009.42,469.7,12.7941
Feature,13.29169572805837,52.47216396858051,Grünanlage,Krampasplatz - Grünanlage,,729.17,183.79,3.9673
Feature,13.265630120796443,52.48490877867861,Grünanlage,Fontanestr. 16 - Grünanlage,,2964.05,480.14,6.1733
Feature,13.283493092950753,52.471064933308405,Grünanlage,Messelpark,,33412.83,1842.22,18.1372
Feature,13.290956661341225,52.4769791625229,Grünanlage,Kolberger Platz - Grünanlage,,2610.78,325.03,8.0324
Feature,13.274664711078467,52.48950827132382,Grünanlage,Rhoda-Erdmann-Park,(ehem.) Koenigsallee 27/Baraschstr. 8 - GA,5284.71,485.47,10.8858
Feature,13.276749811063207,52.491918358553185,Grünanlage,Wallotstr. 17a/19/Erbacher Str. 7 - GA,,2074.27,250.45,8.2823
Feature,13.284151732047123,52.48430356860937,Grünanlage,Carl-Ludwig-Schleich-Promenade,Grünanlage,7380.52,608.47,12.1297
Feature,13.291476512639845,52.48413489862063,Grünanlage,Flinsberger Platz - Grünanlage,,8406.17,764.21,10.9998
Feature,13.294778927788306,52.479208741210726,Grünanlage,Kissinger Platz - Grünanlage,,3665.15,456.38,8.031
Feature,13.276371902158601,52.48747567599255,Grünanlage,Bismarckallee 25a - Grünanlage,Herthasee - Uferanlage,1817.95,249.7,7.2805
Feature,13.280840236760199,52.48240792253008,Grünanlage,Joseph-Joachim-Platz - Grünanlage,,1180.01,169.11,6.9779
Feature,13.289555658677509,52.494425986738044,Grünanlage,Melli-Beese-Anlage - GA,,875.76,134.55,6.5088
Feature,13.279368993287386,52.49496149043472,Grünanlage,Trabener Str. 70a - Grünanlage,Uferanlage Halensee,2712.62,550.16,4.9306
Feature,13.282600805241,52.476315745938614,Grünanlage,Betty-Hirsch-Platz - Grünanlage,ehem. Platz S,3824.78,256.85,14.8908
Feature,13.275056671880685,52.487694623725694,Grünanlage,Delbrückstr. 02 - Grünanlage,Herthasee - Uferanlage,1129.26,213.42,5.2913
Feature,13.276988713032157,52.4748198771416,Grünanlage,Robert-Stolz-Anlage-GA,,11326.07,615.98,18.387
Feature,13.282078936596657,52.496183399771446,Grünanlage,Friedenthalpark,Halenseestr. 11 (ehem. Halenseepark),29409.96,1112.87,26.4272
Feature,13.285256197386412,52.49191721859579,Grünanlage,Bismarckplatz - Grünanlage,,2093.16,265.01,7.8983
Feature,13.304651944208699,52.50540638574669,Grünanlage,Stuttgarter Platz - Grünanlage,"ggb. 1-11, Wilmersdorfer bis Lewisham",6064.11,824.84,7.3519
Feature,13.300389372019115,52.50454535315465,Grünanlage,Stuttgarter Platz 30 - Grünanlage,Windscheidtstr. bis Lewishamstr.,5339.93,473.73,11.2721
Feature,13.27104572750719,52.5288206218906,Grünanlage,Spreeuferweg / Tiefer Grund - GA,nördl. Kol. Tiefer Grund II,1087.04,417.63,2.6029
Feature,13.27615198579267,52.53623328967498,Grünanlage,Siemensdamm-Popitzweg - GA,Verbindungsweg,1138.55,322.05,3.5353
Feature,13.310482553838066,52.52090788123471,Grünanlage,Am Spreebord - Grünanlage,Uferstreifen (ehem. Ladestr.),10039.24,1200.75,8.3608
Feature,13.333036753494543,52.49317890410764,Grünanlage,Prager Platz - Grünanlage,Platzmitte,1995.26,159.97,12.4731
Feature,13.326778532358944,52.48458594989171,Grünanlage,Schoelerpark,Grünanlage,4629.09,383.15,12.0815
Feature,13.303431551483033,52.535152299546105,Grünanlage,Goerdelerdamm - Paul-Hertz-Siedlung - GA,Grünfläche am Goerdelersteg,2851.51,466.05,6.1185
Feature,13.25539372100705,52.51890332116815,Grünanlage,Brixplatz - Grünanlage,,17444.35,1173.86,14.8607
Feature,13.312022053570969,52.51809715731232,Grünanlage,Alt-Lietzow - Grünanlage,Mittelinsel,3742.5,411.82,9.0878
Feature,13.264650518309553,52.51156969629846,Grünanlage,Fürstenplatz - Grünanlage,,5628.06,506.33,11.1154
Feature,13.313947729319915,52.4994227267621,Grünanlage,Olivaer Platz - Grünanlage,,5133.78,636.31,8.0681
Feature,13.323176740739191,52.484119795019005,Grünanlage,Volkspark Wilmersdorf,,103238.89,5977.15,17.2723
Feature,13.307331797922885,52.486426042275546,Grünanlage,Rudolstädter Str. 70/Berliner Str. - GA,Grünzug,2595.26,551.93,4.7022
Feature,13.321094746391578,52.49769771974101,Grünanlage,Ludwigkirchplatz - Grünanlage,,3254.96,324.35,10.0354
Feature,13.33444370850557,52.49805307900414,Grünanlage,Nürnberger Platz - Grünanlage,,1454.6,148.88,9.7706
Feature,13.329931035863877,52.497399417791016,Grünanlage,Gerhart-Hauptmann-Park,,7540.39,756.75,9.9641
Feature,13.316433014224488,52.48176554314494,Grünanlage,Brabanter Platz - Grünanlage,,928.07,127.09,7.3027
Feature,13.312988298777302,52.49269433443328,Grünanlage,Preußenpark,,49325.92,1191.03,41.4144
