type,coordinates long,coordinates lat,category,name,info
Point,13.546765,52.5020209,Picknicktisch,Picknicktisch,
Point,13.5614972,52.4807031,Picknicktisch,Picknicktisch,
Point,13.5673892,52.4729509,Picknicktisch,Picknicktisch,
Point,13.3793748,52.4966982,Picknicktisch,Picknicktisch,
Point,13.6112263,52.543877,Picknicktisch,Picknicktisch,
Point,13.6346452,52.4197789,Picknicktisch,Picknicktisch,
Point,13.6346597,52.4198269,Picknicktisch,Picknicktisch,
Point,13.5534249,52.5505583,Picknicktisch,Picknicktisch,
Point,13.5534401,52.5503837,Picknicktisch,Picknicktisch,
Point,13.5549661,52.5517602,Picknicktisch,Picknicktisch,
Point,13.4120184,52.5150323,Picknicktisch,Riesen-Picknicktisch,
Point,13.5503328,52.4761216,Picknicktisch,Picknicktisch,
Point,13.4981735,52.5002214,Picknicktisch,Picknicktisch,
Point,13.5108358,52.5026292,Picknicktisch,Picknicktisch,
Point,13.3273631,52.5068813,Picknicktisch,Picknicktisch,
Point,13.3274195,52.5068846,Picknicktisch,Picknicktisch,
Point,13.5430465,52.4644729,Picknicktisch,Picknicktisch,
Point,13.5428972,52.4644991,Picknicktisch,Picknicktisch,
Point,13.6547995,52.3733085,Picknicktisch,Picknicktisch,
Point,13.4006772,52.6277336,Picknicktisch,Picknicktisch,
Point,13.5616963,52.4679374,Picknicktisch,Picknicktisch,
Point,13.608433,52.3866529,Picknicktisch,Picknicktisch,
Point,13.4943464,52.5156148,Picknicktisch,Picknicktisch,
Point,13.4943192,52.5156529,Picknicktisch,Picknicktisch,
Point,13.4116671,52.5623289,Picknicktisch,Picknicktisch,
Point,13.4116627,52.5623813,Picknicktisch,Picknicktisch,
Point,13.4106971,52.5622841,Picknicktisch,Picknicktisch,
Point,13.4107897,52.5622849,Picknicktisch,Picknicktisch,
Point,13.4114429,52.5625269,Picknicktisch,Picknicktisch,
Point,13.411516,52.5625277,Picknicktisch,Picknicktisch,
Point,13.440029,52.4807664,Picknicktisch,Picknicktisch,
Point,13.5359452,52.4957957,Picknicktisch,Picknicktisch,
Point,13.4589987,52.5195285,Picknicktisch,Picknicktisch,
Point,13.4586905,52.519865,Picknicktisch,Picknicktisch,
Point,13.4501947,52.4991554,Picknicktisch,Picknicktisch,
Point,13.4446802,52.4763637,Picknicktisch,Picknicktisch,
Point,13.4446529,52.4763443,Picknicktisch,Picknicktisch,
Point,13.5977724,52.4659675,Picknicktisch,Picknicktisch,
Point,13.4118403,52.6285176,Picknicktisch,Picknicktisch,
Point,13.4208016,52.6330653,Picknicktisch,Picknicktisch,
Point,13.4944509,52.6325631,Picknicktisch,Picknicktisch,
Point,13.2088276,52.4800261,Picknicktisch,Picknicktisch,
Point,13.2087016,52.4800205,Picknicktisch,Picknicktisch,
Point,13.2088804,52.4800039,Picknicktisch,Picknicktisch,
Point,13.208724,52.4800243,Picknicktisch,Picknicktisch,
Point,13.4689701,52.4678848,Picknicktisch,Picknicktisch,
Point,13.4938963,52.6318731,Picknicktisch,Picknicktisch,
Point,13.464136,52.4712445,Picknicktisch,Picknicktisch,
Point,13.4643335,52.4714799,Picknicktisch,Picknicktisch,
Point,13.5099406,52.4939387,Picknicktisch,Picknicktisch,
Point,13.4126927,52.4344421,Picknicktisch,Picknicktisch,
Point,13.348103,52.525659,Picknicktisch,Picknicktisch,
Point,13.4527628,52.4725077,Picknicktisch,Picknicktisch,
Point,13.4528698,52.4723739,Picknicktisch,Picknicktisch,
Point,13.4356303,52.4700775,Picknicktisch,Picknicktisch,
Point,13.4355981,52.4703675,Picknicktisch,Picknicktisch,
Point,13.4402607,52.496906,Picknicktisch,Picknicktisch,
Point,13.4720156,52.5245158,Picknicktisch,Picknicktisch,
Point,13.4428409,52.4489401,Picknicktisch,Picknicktisch,
Point,13.4430103,52.4489818,Picknicktisch,Picknicktisch,
Point,13.4429721,52.4489274,Picknicktisch,Picknicktisch,
Point,13.4430039,52.446952,Picknicktisch,Picknicktisch,
Point,13.4435736,52.4471292,Picknicktisch,Picknicktisch,
Point,13.4436911,52.447602,Picknicktisch,Picknicktisch,
Point,13.4427537,52.4487052,Picknicktisch,Picknicktisch,
Point,13.2264289,52.445275,Picknicktisch,Picknicktisch,
Point,13.409081,52.5317221,Picknicktisch,Picknicktisch,
Point,13.5051813,52.5222498,Picknicktisch,Picknicktisch,
Point,13.505238,52.5222396,Picknicktisch,Picknicktisch,
Point,13.5051226,52.5222617,Picknicktisch,Picknicktisch,
Point,13.5057231,52.5200498,Picknicktisch,Picknicktisch,
Point,13.5057195,52.5201596,Picknicktisch,Picknicktisch,
Point,13.4916629,52.5185706,Picknicktisch,Picknicktisch,
Point,13.4916648,52.518608,Picknicktisch,Picknicktisch,
Point,13.3576584,52.5646361,Picknicktisch,Picknicktisch,
Point,13.5514015,52.5658403,Picknicktisch,Picknicktisch,
Point,13.3350277,52.6055199,Picknicktisch,Picknicktisch,
