type,coordinates long,coordinates lat,category,name,info,aktualisiert
Point,13.4280945,52.634859,Sitzbank,Sitzbank,,2026-07-15
Point,13.4285673,52.6336612,Sitzbank,Sitzbank,,2026-07-15
Point,13.4291224,52.633644,Sitzbank,Sitzbank,,2026-07-15
Point,13.4304175,52.6336574,Sitzbank,Sitzbank,,2026-07-15
Point,13.4308792,52.6336806,Sitzbank,Sitzbank,,2026-07-15
Point,13.4324068,52.6337366,Sitzbank,Sitzbank,,2026-07-15
Point,13.4324986,52.6337366,Sitzbank,Sitzbank,,2026-07-15
Point,13.4351994,52.6337715,Sitzbank,Sitzbank,,2026-07-15
Point,13.2130206,52.4513853,Sitzbank,Sitzbank,,2026-07-15
Point,13.3518282,52.5435447,Sitzbank,Sitzbank,,2026-07-15
Point,13.3517,52.5437404,Sitzbank,Sitzbank,,2026-07-15
Point,13.3521242,52.5433165,Sitzbank,Sitzbank,,2026-07-15
Point,13.5770536,52.5491352,Sitzbank,Sitzbank,,2026-07-15
Point,13.5394766,52.4478301,Sitzbank,Sitzbank,,2026-07-15
Point,13.5418627,52.4427712,Sitzbank,Sitzbank,,2026-07-15
Point,13.546963,52.4474007,Sitzbank,Sitzbank,Rückenlehne als Krokodil gestaltet,2026-07-15
Point,13.3846736,52.5339429,Sitzbank,Sitzbank,,2026-07-15
Point,13.4339239,52.6087693,Sitzbank,Sitzbank,,2026-07-15
Point,13.4242028,52.6157221,Sitzbank,Sitzbank,,2026-07-15
Point,13.4239048,52.6156994,Sitzbank,Sitzbank,,2026-07-15
Point,13.5361859,52.4676536,Sitzbank,Sitzbank,,2026-07-15
Point,13.5349065,52.4674,Sitzbank,Sitzbank,,2026-07-15
Point,13.3348152,52.5047414,Sitzbank,Sitzbank,,2026-07-15
Point,13.3362447,52.5048984,Sitzbank,Sitzbank,,2026-07-15
Point,13.6207076,52.4550293,Sitzbank,Sitzbank,,2026-07-15
Point,13.6189458,52.4554109,Sitzbank,Sitzbank,,2026-07-15
Point,13.4397745,52.489897,Sitzbank,Sitzbank,,2026-07-15
Point,13.4426002,52.4767263,Sitzbank,Sitzbank,,2026-07-15
Point,13.577741,52.502157,Sitzbank,Sitzbank,,2026-07-15
Point,13.417445,52.4607911,Sitzbank,Sitzbank,,2026-07-15
Point,13.4361422,52.4670865,Sitzbank,Sitzbank,,2026-07-15
Point,13.3716886,52.5227659,Sitzbank,Sitzbank,,2026-07-15
Point,13.3718211,52.522772,Sitzbank,Sitzbank,,2026-07-15
Point,13.3718485,52.5227549,Sitzbank,Sitzbank,,2026-07-15
Point,13.3719879,52.5227399,Sitzbank,Sitzbank,,2026-07-15
Point,13.3719606,52.522757,Sitzbank,Sitzbank,,2026-07-15
Point,13.3719437,52.5227729,Sitzbank,Sitzbank,,2026-07-15
Point,13.3720565,52.5227741,Sitzbank,Sitzbank,,2026-07-15
Point,13.372065,52.5227575,Sitzbank,Sitzbank,,2026-07-15
Point,13.3721778,52.5227741,Sitzbank,Sitzbank,,2026-07-15
Point,13.3721705,52.5227406,Sitzbank,Sitzbank,,2026-07-15
Point,13.3722017,52.522757,Sitzbank,Sitzbank,,2026-07-15
Point,13.3722822,52.5227724,Sitzbank,Sitzbank,,2026-07-15
Point,13.3723842,52.5227713,Sitzbank,Sitzbank,,2026-07-15
Point,13.3723123,52.522739,Sitzbank,Sitzbank,,2026-07-15
Point,13.3723911,52.5227541,Sitzbank,Sitzbank,,2026-07-15
Point,13.3724023,52.5227371,Sitzbank,Sitzbank,,2026-07-15
Point,13.372489,52.5227673,Sitzbank,Sitzbank,,2026-07-15
Point,13.3725495,52.5227469,Sitzbank,Sitzbank,,2026-07-15
Point,13.372586,52.5227605,Sitzbank,Sitzbank,,2026-07-15
Point,13.3726812,52.5227539,Sitzbank,Sitzbank,,2026-07-15
Point,13.1779295,52.4428396,Sitzbank,Sitzbank,,2026-07-15
Point,13.1781787,52.4426896,Sitzbank,Sitzbank,,2026-07-15
Point,13.4703462,52.4649528,Sitzbank,Sitzbank,,2026-07-15
Point,13.4702548,52.464968,Sitzbank,Sitzbank,,2026-07-15
Point,13.4701839,52.4649468,Sitzbank,Sitzbank,,2026-07-15
Point,13.385848,52.4400782,Sitzbank,Sitzbank,,2026-07-15
Point,13.3834968,52.4396962,Sitzbank,Sitzbank,,2026-07-15
Point,13.3640185,52.4457578,Sitzbank,Sitzbank,,2026-07-15
Point,13.3468911,52.5780168,Sitzbank,Sitzbank,,2026-07-15
Point,13.4053488,52.4276513,Sitzbank,Sitzbank,,2026-07-15
Point,13.4152324,52.4810724,Sitzbank,Sitzbank,,2026-07-15
Point,13.4136103,52.4925128,Sitzbank,Sitzbank,,2026-07-15
Point,13.4137921,52.4927624,Sitzbank,Sitzbank,,2026-07-15
Point,13.4285603,52.4599718,Sitzbank,Sitzbank,,2026-07-15
Point,13.4288836,52.4597311,Sitzbank,Sitzbank,,2026-07-15
Point,13.2581898,52.4691936,Sitzbank,Sitzbank,,2026-07-15
Point,13.2591825,52.4694512,Sitzbank,Sitzbank,,2026-07-15
Point,13.2596988,52.4695285,Sitzbank,Sitzbank,,2026-07-15
Point,13.3736641,52.4896147,Sitzbank,Sitzbank,,2026-07-15
Point,13.3791262,52.495797,Sitzbank,Sitzbank,,2026-07-15
Point,13.3791711,52.4959741,Sitzbank,Sitzbank,,2026-07-15
Point,13.3792145,52.4961565,Sitzbank,Sitzbank,,2026-07-15
Point,13.3777161,52.4948721,Sitzbank,Sitzbank,,2026-07-15
Point,13.4249152,52.5393867,Sitzbank,Sitzbank,,2026-07-15
Point,13.5362727,52.4452446,Sitzbank,Sitzbank,,2026-07-15
Point,13.5365731,52.4471279,Sitzbank,Sitzbank,,2026-07-15
Point,13.5405111,52.4426241,Sitzbank,Sitzbank,,2026-07-15
Point,13.5501301,52.4469182,Sitzbank,Sitzbank,,2026-07-15
Point,13.3278187,52.5070192,Sitzbank,Sitzbank,,2026-07-15
Point,13.1231167,52.531998,Sitzbank,Sitzbank,,2026-07-15
Point,13.1258133,52.5326572,Sitzbank,Sitzbank,,2026-07-15
Point,13.3662795,52.4579619,Sitzbank,Sitzbank,,2026-07-15
Point,13.3650865,52.5217748,Sitzbank,Sitzbank,,2026-07-15
Point,13.3643332,52.5212454,Sitzbank,Sitzbank,,2026-07-15
Point,13.3686463,52.5224513,Sitzbank,Sitzbank,,2026-07-15
Point,13.368829,52.5225696,Sitzbank,Sitzbank,,2026-07-15
Point,13.3692186,52.5227874,Sitzbank,Sitzbank,,2026-07-15
Point,13.3690606,52.5227053,Sitzbank,Sitzbank,,2026-07-15
Point,13.3689926,52.5226675,Sitzbank,Sitzbank,,2026-07-15
Point,13.3687914,52.5225443,Sitzbank,Sitzbank,,2026-07-15
Point,13.3689236,52.5226271,Sitzbank,Sitzbank,,2026-07-15
Point,13.3555619,52.5177462,Sitzbank,Sitzbank,,2026-07-15
Point,13.4320388,52.5413499,Sitzbank,Sitzbank,,2026-07-15
Point,13.4322266,52.5413334,Sitzbank,Sitzbank,,2026-07-15
Point,13.4324043,52.5412761,Sitzbank,Sitzbank,,2026-07-15
Point,13.4325554,52.5412156,Sitzbank,Sitzbank,,2026-07-15
Point,13.432674,52.5411213,Sitzbank,Sitzbank,,2026-07-15
Point,13.3658596,52.4574176,Sitzbank,Sitzbank,,2026-07-15
Point,13.4045136,52.5785417,Sitzbank,Sitzbank,,2026-07-15
Point,13.3527302,52.5365315,Sitzbank,Sitzbank,,2026-07-15
Point,13.3588284,52.5416562,Sitzbank,Sitzbank,,2026-07-15
Point,13.3587388,52.5417665,Sitzbank,Sitzbank,,2026-07-15
Point,13.3587174,52.5419066,Sitzbank,Sitzbank,,2026-07-15
Point,13.3560761,52.5431525,Sitzbank,Sitzbank,,2026-07-15
Point,13.3522896,52.5456308,Sitzbank,Sitzbank,,2026-07-15
Point,13.3525059,52.5457385,Sitzbank,Sitzbank,,2026-07-15
Point,13.3524212,52.5456957,Sitzbank,Sitzbank,,2026-07-15
Point,13.3527821,52.5455262,Sitzbank,Sitzbank,,2026-07-15
Point,13.352703,52.5454855,Sitzbank,Sitzbank,,2026-07-15
Point,13.3526185,52.5454402,Sitzbank,Sitzbank,,2026-07-15
Point,13.352538,52.5453992,Sitzbank,Sitzbank,,2026-07-15
Point,13.3531276,52.5463986,Sitzbank,Sitzbank,,2026-07-15
Point,13.3531858,52.5463005,Sitzbank,Sitzbank,,2026-07-15
Point,13.3529018,52.5461466,Sitzbank,Sitzbank,,2026-07-15
Point,13.3534838,52.5459442,Sitzbank,Sitzbank,,2026-07-15
Point,13.3535873,52.5458316,Sitzbank,Sitzbank,,2026-07-15
Point,13.353646,52.5460188,Sitzbank,Sitzbank,,2026-07-15
Point,13.3533645,52.5460234,Sitzbank,Sitzbank,,2026-07-15
Point,13.353236,52.5458522,Sitzbank,Sitzbank,,2026-07-15
Point,13.2747462,52.6044886,Sitzbank,Sitzbank,,2026-07-15
Point,13.2955896,52.501901,Sitzbank,Sitzbank,,2026-07-15
Point,13.2962954,52.5016726,Sitzbank,Sitzbank,,2026-07-15
Point,13.4486507,52.499777,Sitzbank,Sitzbank,,2026-07-15
Point,13.4580102,52.4732296,Sitzbank,Sitzbank,,2026-07-15
Point,13.3584932,52.5440267,Sitzbank,Sitzbank,,2026-07-15
Point,13.3553597,52.5181878,Sitzbank,Sitzbank,,2026-07-15
Point,13.3554197,52.5181984,Sitzbank,Sitzbank,,2026-07-15
Point,13.355348,52.5181546,Sitzbank,Sitzbank,,2026-07-15
Point,13.3554197,52.5181057,Sitzbank,Sitzbank,,2026-07-15
Point,13.3555652,52.518084,Sitzbank,Sitzbank,,2026-07-15
Point,13.3555471,52.5181334,Sitzbank,Sitzbank,,2026-07-15
Point,13.3536605,52.5406928,Sitzbank,Sitzbank,,2026-07-15
Point,13.3536961,52.5406996,Sitzbank,Sitzbank,,2026-07-15
Point,13.353142,52.5408727,Sitzbank,Sitzbank,,2026-07-15
Point,13.3531773,52.5408843,Sitzbank,Sitzbank,,2026-07-15
Point,13.410181,52.5213803,Sitzbank,Sitzbank,,2026-07-15
Point,13.4102214,52.5214019,Sitzbank,Sitzbank,,2026-07-15
Point,13.4104824,52.5211433,Sitzbank,Sitzbank,,2026-07-15
Point,13.4105264,52.5211619,Sitzbank,Sitzbank,,2026-07-15
Point,13.358524,52.5440363,Sitzbank,Sitzbank,,2026-07-15
Point,13.3584627,52.5439327,Sitzbank,Sitzbank,,2026-07-15
Point,13.3584187,52.5439063,Sitzbank,Sitzbank,,2026-07-15
Point,13.2845481,52.5876962,Sitzbank,Sitzbank,,2026-07-15
Point,13.2825452,52.5874685,Sitzbank,Sitzbank,,2026-07-15
Point,13.4104184,52.5210143,Sitzbank,Sitzbank,,2026-07-15
Point,13.4099581,52.5213518,Sitzbank,Sitzbank,,2026-07-15
Point,13.3696891,52.5444777,Sitzbank,Sitzbank,,2026-07-15
Point,13.4069885,52.4782572,Sitzbank,Treffpunkt Religion und Gesellschaft,,2026-07-15
Point,13.534488,52.4322353,Sitzbank,Sitzbank,,2026-07-15
Point,13.3264095,52.5100358,Sitzbank,Sitzbank,,2026-07-15
Point,13.3263497,52.5100105,Sitzbank,Sitzbank,,2026-07-15
Point,13.3263413,52.5100429,Sitzbank,Sitzbank,,2026-07-15
Point,13.3265714,52.5103199,Sitzbank,Sitzbank,,2026-07-15
Point,13.4357528,52.4977922,Sitzbank,Sitzbank,,2026-07-15
Point,13.5215516,52.4223488,Sitzbank,Sitzbank,,2026-07-15
Point,13.4078775,52.4322174,Sitzbank,Sitzbank,,2026-07-15
Point,13.4294085,52.4769199,Sitzbank,Sitzbank,,2026-07-15
Point,13.4291726,52.4769415,Sitzbank,Sitzbank,,2026-07-15
Point,13.429231,52.4767665,Sitzbank,Sitzbank,,2026-07-15
Point,13.4293369,52.4769632,Sitzbank,Sitzbank,,2026-07-15
Point,13.4293944,52.4767871,Sitzbank,Sitzbank,,2026-07-15
