type,coordinates long,coordinates lat,category,name,info
Point,13.468894,52.42977704,"Öffentlicher ""Kühler Raum""",Nachbarschaftstreff Waschhaus-Café,"Eugen-Bolz-Kehre 12, 12351 Berlin | Mo, Di, Do: 10:00 - 17:00 Uhr; Mi, Fr: 10:00 - 15:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.432212,52.47849604,"Öffentlicher ""Kühler Raum""",Bürgerzentrum Neukölln,"Werbellinstraße 42, 12053 Berlin | Di, Mi: 09:00 - 15.00 Uhr; Do: 09:00 - 17:00 Uhr; Fr: 09:00 - 14:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.441167,52.47119204,"Öffentlicher ""Kühler Raum""",Nachbarschaftshaus am Körnerpark,"Schierker Str. 53a, 12051 Berlin | Mo - Fr: 9:00 - 18:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.455759,52.42845604,"Öffentlicher ""Kühler Raum""",Quartiersmanagement Gropiusstadt Nord,"Martin-Luther-King-Weg 6, 12353 Berlin | Mo - Do: 09:00 - 16:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.49684,52.41670404,"Öffentlicher ""Kühler Raum""",Seniorenfreizeitstätte Alt-Rudow 60a,"Alt-Rudow 60a, 12355 Berlin | Mo - Do: 09:00 - 16:00 Uhr; Fr: 09:00 - 12:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.462307,52.42523704,"Öffentlicher ""Kühler Raum""",Seniorenfreizeitstätte Gemeinschaftshaus Gropiusstadt,"Bat-Yam-Platz 1, 12353 Berlin | Mo: 10:00 - 14:00 Uhr; Di-Fr: 10:00 - 16:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.472858,52.46544104,"Öffentlicher ""Kühler Raum""","Stadtteilzentrum Köllnische Heide ""Mittendrin""","Sonnenallee 319, 12057 Berlin | Mo: 13:00 - 16:00 Uhr; Di: 09:30 - 16:30 Uhr; Mi: 09:30 - 18.00 Uhr; Do: 09:00 - 16:30 Uhr | eingeschränkt rollstuhlgerecht | Es ist kein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.425172,52.47393504,"Öffentlicher ""Kühler Raum""",Tee- und Wärmestube Neukölln,"Weisestraße 34, 12049 Berlin | Mo, Mi, So: 15:00 - 19:00 Uhr; Di (Öffnungstag für Frauen): 10:00 - 15:00 Uhr; Do: 09:00 – 14:00 Uhr | nicht rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.462066,52.42566804,"Öffentlicher ""Kühler Raum""",Gertrud-Junge-Bibliothek,"Bat-Yam-Platz 1, 12353 Berlin | Mo: 11:00 - 15:00 Uhr; Di - Do: 13:00 - 19:00 Uhr; Fr: 11:00 - 15:00 Uhr | rollstuhlgerecht | Es gibt einen rollstuhlgerechten Zugang zur Erwachsenen - und zur Jugendbibliothek. Es gibt kein rollstuhlgerechtes WC in der Erwachsenenbibliothek. Es gibt ein rollstuhlgerechtes WC in der Jugendbibliothek. Es erfolgt keine medizinische Betreuung."
Point,13.451726,52.48064404,"Öffentlicher ""Kühler Raum""",Quartiersmanagement Harzer Straße,"Treptower Straße 23, 12059 Berlin | Mo - Do: 10:00 - 17:00 Uhr; Fr: 10:00 - 14:00 Uhr | nicht rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.436126,52.41808304,"Öffentlicher ""Kühler Raum""",Stadtteilzentrum Buckow,"Christoph-Ruden-Str. 9, 12349 Berlin | Mo - Fr: 10:00 - 16:00 Uhr | eingeschränkt rollstuhlgerecht | Ein rollstuhlgerechter Zugang ist vorhanden. Es ist kein rollstuhlgerechtes WC vorhanden. Es gibt WLAN und Beschäftigungsmöglichkeiten. Das Mitbringen von Haustieren ist erlaubt. Es erfolgt keine medizinische Betreuung."
Point,13.424949,52.49163904,"Öffentlicher ""Kühler Raum""",elele Nachbarschaftszentrum,"Hobrechtstraße 55, 12047 Berlin | Mo - Fr: 15:00 - 18:00 Uhr | nicht rollstuhlgerecht | Es gibt WLAN und Beschäftigungsmöglichkeiten (Spiele und Spielgeräte). Es erfolgt keine medizinische Betreuung."
Point,13.462569,52.42838804,"Öffentlicher ""Kühler Raum""",Frauen-Café Gropiusstadt,"Löwensteinring 22 A 12353 Berlin | Mo - Di: 10:00 -15:00 Uhr (je nach Raumbelegung) Mi - Do: 10:00 -17:00 Uhr (je nach Raumbelegung) | eingeschränkt rollstuhlgerecht | FLINTA Cafe (+Kinder): Es gibt WLAN, Spiele und Spielgeräte. Das Mitbringen von Hunden ist erlaubt. Ein rollstuhlgerechter Zugang ist vorhanden. Es ist kein rollstuhlgerechtes WC vorhanden. Das aktuelle Tagesprogramm ist einsehbar auf der Website https://www.frauencafe-gropiusstadt.de/cafe-kalender Es erfolgt keine medizinische Betreuung."
Point,13.437826,52.44592904,"Öffentlicher ""Kühler Raum""",Museum Neukölln,"Alt-Britz 81, 12359 Berlin | Mo - So: 10:00 - 18:00 Uhr | rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.475718,52.42323804,"Öffentlicher ""Kühler Raum""",Kreisler,"Joachim-Gottschalk-Weg 21, 12353 Berlin | Mi - Fr: 14:00 - 19:00 Uhr Sa: 11:00 - 16:00 Uhr | eingeschränkt rollstuhlgerecht | Ein rollstuhlgerechter Zugang ist vorhanden. Es ist kein rollstuhlgerechtes WC vorhanden. Die Mitnahme von Haustieren ist erlaubt. Es erfolgt keine medizinische Betreuung."
