type,coordinates long,coordinates lat,category,name,info
Point,13.432374144444502,52.53928531683957,Brunnen,Sprudel vor der Ladenzone,Ernst-Thälmann-Park
Point,13.43463296693523,52.51748369968581,Brunnen,Brunnenbecken Karl-Marx-Allee,Karl-Marx-Allee 70
Point,13.42770117028941,52.52785341267081,Brunnen,Delphinbrunnen,Volkspark Friedrichshain
Point,13.445069872684552,52.54023681825426,Brunnen,Plansche Einsteinpark,Einsteinpark
Point,13.469343178638617,52.53317203871101,Brunnen,Vogelbrunnen,Judith-Auer-Straße 4-9
Point,13.457163985582625,52.51570913025481,Brunnen,Brunnenbecken,
Point,13.471793491709242,52.529369521999165,Brunnen,Wasserspiele,Anton-Saefkow-Platz 8
Point,13.45761947348157,52.5156636847271,Brunnen,Brunnenbecken,
Point,13.444085042720467,52.54252188257736,Brunnen,Brunnenbecken,
Point,13.450532811773108,52.52124419536221,Brunnen,Kugelbrunnen,Petersburger Platz
Point,13.198652407133237,52.533967236476855,Brunnen,Brunnen,
Point,13.290494494911567,52.420600106395305,Brunnen,Lindenbrunnen,
Point,13.29406208928254,52.422089249493474,Brunnen,Brunnentempel,Parkfriedhof Lichterfelde / Thuner Platz 2-4
Point,13.335763269784593,52.609327602117766,Brunnen,Brunnen,
Point,13.359227120959426,52.5170617653485,Brunnen,Tritonbrunnen,Großfürstenplatz
Point,13.395509297713184,52.5239526654846,Brunnen,Schalenbrunnen,Monbijoupark
Point,13.401011458684183,52.51198884349604,Brunnen,Spindlerbrunnen,Kleine Kurstraße 33
Point,13.347936103192552,52.51683523699522,Brunnen,Froschbrunnen,Englischer Garten / Altonaer Straße 2
Point,13.377724469817753,52.50568547874461,Brunnen,Brunnen an der Bernburger Str.,Bernburger Straße 15
Point,13.39813609622725,52.51561385201948,Brunnen,Bärenbrunnen,Werderscher Markt / Schinkelplatz
Point,13.392662093683912,52.51361456486327,Brunnen,Schillerbrunnen,
Point,13.385481332614937,52.519991977071186,Brunnen,Kleine Liebessäule,
Point,13.348095658189674,52.5167131352251,Brunnen,Froschbrunnen,
Point,13.348182641218912,52.51686959045929,Brunnen,Froschbrunnen,
Point,13.39513452530381,52.53256812476562,Brunnen,Geldzählerbrunnen,Pappelplatz
Point,13.402444452816825,52.532004613484,Brunnen,Plansche,
Point,13.378931228704296,52.51599305962842,Brunnen,Historische Brunnen,
Point,13.406828998652408,52.51667934156027,Brunnen,Wappenbrunnen,
Point,13.397111494072007,52.501847387694404,Brunnen,Brunnen am Berliner-Museum,
Point,13.376350243447083,52.529245508348005,Brunnen,"Wasseranlage ""Sinkende Mauern""",
Point,13.357288887628847,52.51359020185304,Brunnen,Brunnenschale,Gorßer Tiergarten
Point,13.389932399614365,52.501499880717816,Brunnen,Nichtgeburtstagskaffeekanne,Theodor-Wolff-Park
Point,13.391772642336498,52.498964809642594,Brunnen,Friedenssäule,Mehringplatz
Point,13.340715029507201,52.505594033765234,Brunnen,Ammonitenbrunnen,Olof-Palme-Platz
Point,13.39785991647114,52.51934813435404,Brunnen,Scholle auf dem Trockenen,Am Lustgarten 1
Point,13.404436923230358,52.546193087610426,Brunnen,Walrosse,
Point,13.347892850204142,52.51675537623734,Brunnen,Froschbrunnen,
Point,13.374945193100118,52.51202789013646,Brunnen,Lessing,
Point,13.34798073783181,52.51691323787879,Brunnen,Froschbrunnen,
Point,13.40599410846936,52.50351288495696,Brunnen,Brunnenschalen,
Point,13.336507149418805,52.50468973919306,Brunnen,Wasserklops,
Point,13.408037649715745,52.52037708023181,Brunnen,Wasserkaskaden,
Point,13.352590898321138,52.50504972857733,Brunnen,Kieselwaschbeton,
Point,13.398676062335959,52.518121093237355,Brunnen,Überlaufstein,
Point,13.343239421947152,52.50227067399884,Brunnen,Nordbrunnen,Wittenbergplatz
Point,13.408357133684973,52.52012820772912,Brunnen,Wasserkaskaden,
Point,13.37880671655443,52.51670138077815,Brunnen,Historische Brunnen,
Point,13.396535753228488,52.51306447739618,Brunnen,Historischer Brunnen,Hausvogteilplatz
Point,13.399677494220382,52.51858404207181,Brunnen,Modemer Brunnen,Am Lustgarten 1
Point,13.352804500758786,52.504945779969574,Brunnen,Kieselwaschbeton,
Point,13.360573657605121,52.503664102153095,Brunnen,Pferdetränke,
Point,13.401980201806417,52.53728546736315,Brunnen,Historische Pumpe,Arkonaplatz
Point,13.369413479957673,52.54466958067466,Brunnen,Tanz auf dem Vulkan,
Point,13.352702616398135,52.50500240826457,Brunnen,Kieselwaschbeton,
Point,13.40567388767118,52.50359336514006,Brunnen,Brunnenschalen,Ritterstraße
Point,13.371553872834689,52.52015213931222,Brunnen,Forum am Kanzleramt,Wasserbecken
Point,13.406834807139683,52.519599321781165,Brunnen,Neptunbrunnen,Rathausstraße 1
Point,13.34384331953729,52.53190554993702,Brunnen,Forellenbach,
Point,13.348139949195291,52.51679362179575,Brunnen,Froschbrunnen,
Point,13.342714276257743,52.50135992290833,Brunnen,Südbrunnen (Lebensalter),Wittenbergplatz
Point,13.408889388642521,52.531825826657396,Brunnen,Froschkönig,
Point,13.412776275259464,52.52201803684569,Brunnen,Brunnen der Völkerfreundschaft,Alexanderplatz 9
Point,13.398434476430268,52.541076848516646,Brunnen,Nilpferdbrunnen,
Point,13.408224043142246,52.52252616682997,Brunnen,Markthallenbrunnen,Rosa-Luxenburg-Straße / Karl-Liebknecht-Straße
Point,13.40825949069388,52.51683969010934,Brunnen,Trinkbrunnen zum Paddenwirt,
Point,13.359294128266816,52.54715698183151,Brunnen,Brunnenschale,
Point,13.398776903942101,52.54131307299111,Brunnen,Schwellenbrunnen,Vinetaplatz
